Local authority name,Region name,Affordability_Ratio_Earnings
Kensington and Chelsea,London,22.8
Westminster,London,18.31
Camden,London,16.84
Hammersmith and Fulham,London,15.83
Brent,London,14.18
Barnet,London,13.34
Islington,London,13.22
Elmbridge,South East,12.94
Wandsworth,London,12.87
Harrow,London,12.85
