Region name,Affordability_Gap
Wales,-0.32545454545454544
East Midlands,-0.0922857142857141
South West,0.1269230769230771
North West,0.2071428571428571
South East,0.2399999999999999
West Midlands,0.2543333333333334
Yorkshire and The Humber,0.2853333333333333
North East,0.36333333333333345
East of England,0.408888888888889
London,4.130625
