Region name,Affordability_Ratio_Earnings
North East,4.791666666666667
Yorkshire and The Humber,5.568666666666667
North West,5.6731428571428575
Wales,5.8136363636363635
East Midlands,6.835714285714285
West Midlands,6.977333333333333
South West,8.536538461538461
East of England,8.878
South East,9.54375
London,12.385625000000001
