Metric,Value
Initial rows,7314
Rows missing Median_Earnings,59
Rows missing Affordability_Ratio_Earnings,59
Rows missing Affordability_Ratio_Income,71
Rows missing Affordability_Gap,88
Rows missing core fields dropped,59
Rows removed total,59
Final rows,7255
