Model,MAE,RMSE
Rolling Mean Baseline (2),0.4489187198019405,0.5073209493314945
Naive Baseline,0.4626095715369562,0.5399900423948596
Linear Trend Regression,0.45975965756503606,0.5813262399924388
"ARIMA(1,1,1)",0.5035838891093831,0.6098045185433694
ETS / Holt,0.5199694804438966,0.6914878578410096
Drift Baseline,0.519969487568823,0.6914878739088003
